                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7973,                 4.0032,                  4.297,                 0.0019,                0.18149,                0.00158,                0.00053,                 3.3967,                 3.8555,                 4.1397,                 0.0946,                 0.0006,                 0.0006
                      1,                 3.4687,                 3.8055,                 4.2247,                0.00177,                0.18861,                0.00134,                0.00047,                 3.3772,                 3.7735,                 4.1081,               0.088296,              0.0012957,              0.0012957
                      2,                 3.6912,                 3.8316,                 4.1819,                0.00177,                0.18861,                0.00147,                0.00051,                 3.3653,                  3.743,                 4.0866,               0.081987,              0.0019868,              0.0019868
                      3,                 3.8835,                 3.7633,                 4.1528,                0.00183,                0.19573,                0.00187,                0.00058,                 3.3564,                 3.7283,                 4.0711,               0.075673,              0.0026733,              0.0026733
                      4,                 3.5712,                 3.6497,                  4.148,                 0.0018,                0.19217,                0.00191,                0.00058,                 3.3415,                  3.713,                 4.0478,               0.069355,              0.0033551,              0.0033551
                      5,                 3.4831,                 3.7442,                 4.0881,                0.00177,                0.18861,                0.00164,                0.00051,                 3.3315,                 3.7043,                 4.0312,               0.063032,              0.0040324,              0.0040324
                      6,                 3.4293,                 3.6286,                 4.0426,                0.00177,                0.18861,                0.00176,                0.00059,                  3.315,                 3.6933,                 4.0029,               0.056705,               0.004705,               0.004705
                      7,                 3.5301,                 3.5695,                 4.0178,                 0.0018,                0.19217,                0.00176,                0.00056,                 3.3087,                 3.6882,                 3.9905,               0.050373,              0.0053729,              0.0053729
                      8,                 3.6964,                 3.4443,                  4.002,                0.00183,                0.19573,                0.00194,                0.00059,                 3.2968,                 3.6801,                 3.9694,               0.044036,              0.0060363,              0.0060363
                      9,                  3.487,                 3.4175,                 3.9845,                0.00187,                0.19929,                 0.0018,                0.00056,                 3.2904,                 3.6792,                 3.9584,               0.037695,              0.0066951,              0.0066951
                     10,                 3.3237,                 3.2578,                 3.8526,                 0.0019,                0.20285,                 0.0017,                0.00056,                 3.2858,                 3.6804,                 3.9516,               0.031349,              0.0073492,              0.0073492
                     11,                 3.2323,                 3.2115,                 3.8142,                 0.0023,                0.24555,                0.00178,                 0.0006,                 3.2838,                 3.6894,                 3.9491,               0.024999,              0.0079987,              0.0079987
                     12,                  3.298,                 2.9239,                 3.6787,                 0.0019,                0.20285,                0.00137,                 0.0004,                 3.2463,                 3.6515,                  3.923,               0.018644,              0.0086436,              0.0086436
                     13,                 3.0251,                   2.99,                 3.6303,                0.00422,                 0.4484,                0.01011,                0.00174,                 3.1776,                 3.5537,                 3.8811,               0.012284,              0.0092839,              0.0092839
                     14,                 3.2181,                 3.1189,                 3.6196,                0.00441,                0.46619,                0.00877,                  0.002,                 3.1705,                 3.5725,                 3.8695,               0.009538,               0.009538,               0.009538
                     15,                  2.982,                 2.9606,                 3.3837,                0.00259,                0.26335,                0.00234,                0.00072,                 3.2674,                 3.8084,                 3.9483,               0.009538,               0.009538,               0.009538
                     16,                 3.0205,                 2.8762,                 3.4194,                0.00236,                0.23843,                0.00203,                0.00068,                  3.251,                 3.8604,                  3.956,               0.009505,               0.009505,               0.009505
                     17,                 3.0086,                 2.9095,                 3.4196,                0.02638,                0.00712,                0.00199,                0.00057,                 3.1626,                 4.1042,                 3.8737,               0.009472,               0.009472,               0.009472
                     18,                 2.9459,                 2.8107,                 3.2993,                0.02799,                0.02135,                0.00228,                0.00062,                 3.0859,                 4.9067,                 3.8267,               0.009439,               0.009439,               0.009439
                     19,                  2.859,                 2.7645,                 3.2954,                0.01326,                0.01423,                0.00321,                0.00093,                 3.1325,                 3.8416,                 3.9083,               0.009406,               0.009406,               0.009406
                     20,                 2.7502,                 2.7906,                 3.2306,                0.03926,                0.01068,                0.00285,                0.00077,                 3.1574,                 4.0192,                 4.4372,               0.009373,               0.009373,               0.009373
                     21,                 2.6143,                  2.815,                 3.2043,                0.00213,                 0.2242,                0.00142,                0.00034,                 3.3258,                 4.9903,                 8.1652,                0.00934,                0.00934,                0.00934
                     22,                 2.7278,                 2.7138,                 3.0878,                0.00266,                0.26335,                0.00206,                0.00054,                 3.4249,                 5.2328,                 12.848,               0.009307,               0.009307,               0.009307
                     23,                 2.6901,                 2.6849,                 3.0642,                0.00755,                0.01423,                0.00113,                0.00028,                 3.3954,                 7.2209,                 15.952,               0.009274,               0.009274,               0.009274
                     24,                 2.7528,                 2.5029,                 3.0106,                0.00742,                0.02491,                 0.0015,                 0.0003,                  3.358,                 6.7202,                 16.479,               0.009241,               0.009241,               0.009241
                     25,                 2.6145,                 2.4802,                 2.8549,                0.00297,                0.11388,                 0.0018,                0.00047,                 3.3732,                 29.902,                 16.332,               0.009208,               0.009208,               0.009208
                     26,                  2.601,                 2.4036,                 2.9356,                0.00445,                0.11744,                0.00221,                0.00062,                 3.4617,                 58.522,                 9.9691,               0.009175,               0.009175,               0.009175
                     27,                 2.4435,                 2.4264,                 2.7646,                0.03693,                0.10676,                0.01117,                0.00321,                  3.076,                 17.288,                 4.4324,               0.009142,               0.009142,               0.009142
